PyroCb Event date and start time,"Multi-pulse pyroCb? 0 = no, 1 = yes ",Estimated pyroCb injection duration (hh:mm) ,Fire Name           (if available),Region,"STATUS                                  C: Confirmed
P: Probable
U: Uncertain             CI: confirmed, incomplete data",Lat,Lon,PyroCb min brightness temp  11um (deg C) ,tropopause height (m),Max smoke injection altitude (m) ,Injection height relative to tropopause (m) ,Minimum Smoke Aerosol Mass Estimate (Tg),Maximum Smoke Aerosol Mass Estimate (Tg),pyroCb event notes,,,
2019-01-25 02:20:00,1,3:00,Timberra,Australia,C,-37.30,148.00,-61.2,15796,14600,-1196,0,0,"Messages 3487+. There was a third, smaller blowup around 08:50 UTC that reached -40 C based on Himawari 8. CALIPSO detected the aerosols at 12-13 km at 40.00 S, 174.96 E around 13:39 UTC, 26 January. Back trajectories point back to the time and location of this blowup. Another layer of aerosols was detected at 7-8 km, a bit further north.",,,
2019-02-03 03:30:00,0,1:00,Timberra,Australia,C,-37.30,148.20,-39,15206,11000,-4206,0,0,"Messages 3517+. This pyro cloud produced lightning. Only a small puff reached close to -40 C, but the fire produced plenty of smoke. CALIPSO detected patches of aerosols at 10 km from 40.36 S, 166.86 E to 35.00 S, 168.46 E around 01:23 UTC, 4 February. Back trajectories point back to to region of the blowup.",,,
2019-02-03 07:00:00,0,1:00,Walhalla,Australia,C,-38.00,146.50,-39.3,15805,11100,-4705,0,0,"Messages 3517+. This pyro cloud produced lightning. Only a small puff reached close to -40 C, but the fire produced plenty of smoke. CALIPSO detected patches of aerosols at 10 km from 40.36 S, 166.86 E to 35.00 S, 168.46 E around 01:23 UTC, 4 February. Back trajectories point back to to region of the blowup.",,,
2019-02-27 06:00:00,0,1:00,,Australia,C,-32.50,120.70,-60,13637,13200,-437,0.0039455,0.007344,"Messages 3358+. CALIPSO detected the aerosols at 10 to 12 km altitude from 22 S, 137 E to 33 S, 135 E around 16:26 UTC, 28 February. Aqua AIRS detected elevated CO as well in that region at approximately the same time. Back trajectories point to the general region of the blowup.",,,
2019-02-27 06:00:00,1,3:00,,Australia,C,-33.00,122.60,-60,13266,13200,-66,0.0039455,0.007344,"Messages 3358+. CALIPSO detected the aerosols at 10 to 12 km altitude from 22 S, 137 E to 33 S, 135 E around 16:26 UTC, 28 February. Aqua AIRS detected elevated CO as well in that region at approximately the same time. Back trajectories point to the general region of the blowup.",,,
2019-03-01 04:00:00,1,3:00,,Australia,C,-29.50,124.40,-70,14183,15500,1317,0.00774,0.02164,Messages 3351+. See entry 11 for information on aerosols detected by CALIPSO.,,,
2019-03-01 06:10:00,0,1:00,,Australia,C,-28.50,124.00,-50.8,13901,11600,-2301,0,0,Messages 3351+. Short duration puff. ,,,
2019-03-02 08:00:00,0,1:00,,Australia,C,-37.60,146.70,-40,11785,9800,-1985,0,0,Messages 3562+. Short duration puff. ,,,
2019-03-02 02:50:00,0,1:00,,Australia,C,-38.00,145.70,-39,12759,9700,-3059,0,0,Messages 3579+.,,,
2019-03-03 02:00:00,1,3:00,,Australia,C,-37.60,146.70,-66,12627,16800,4173,0.00774,0.02164,"Messages 3567+. Large, continuous plume to 05:00 UTC. CALIPSO detected aerosols at 13 km at 37.75 S, 153.96 E at 15:05 UTC on 3 March and at 38.3 S, 168.9 E at 14:05 UTC on 4 March. Back trajectories from these locations point back to the time and location of this blowup but also to that of the blowup on 1 March (see entry 7). Both may have contributed. ",,,
